entity,pillar,title,url,source,date,demographics,text_paragraph_1,text_paragraph_2,text_paragraph_3,has_text,is_google_link,rss_position,reach_score
Angola,Agrifood & Climate,Angola - Cholera & Floods Response - DREF Final Report (MDRAO011),https://news.google.com/rss/articles/CBMimAFBVV95cUxPWS1paXZ5RGlva3Z3eGxhaTNFcXRUMmxoREVVSklOWko5LVRKMXBUQS1XRHc2T2MzdnhVQUpET1FBaWluRng0czRHeXZNNE1jUFpzNEtuQkhCRGh6Uk1qYkEydWNkRl9XVDBILU5rTDdaQmxWNG9ua1hXOG42T0Y4M0ZsbmZSVFEySm93Nzlka2JYM0YwS1N1aQ?oc=5,ReliefWeb,15 May 2026,,,,,no,yes,0,8
Angola,Agrifood & Climate,Restoring hope after the floods in Angola,https://www.salvationarmy.org/news/restoring-hope-after-floods-angola,The Salvation Army International,12 May 2026,,"It is estimated that around 3,000 families lost their homes and personal belongings as a result of the disaster, leaving many without shelter and exposed to harsh weather conditions.","In response, The Salvation Army’s Angola Territory Emergency Response Team was deployed from 14 to 20 April to support affected communities. The team focused its efforts in the Ombaka football stadium which was used to shelter more than 3,000 displaced people.","Humanitarian assistance was provided to 1,235 individuals and included the distribution of essential food supplies, hygiene materials, clothing and other non-food items. The team also provided hot drinks to those sleeping outdoors, offering immediate relief to people exposed to difficult conditions. In addition, door-to-door visits were carried out to assess needs, while offering emotional and spiritual support to affected families.",yes,no,1,9
Angola,Agrifood & Climate,Angola: Flood Survivors Living in Precarious Conditions,https://www.hrw.org/news/2026/05/12/angola-flood-survivors-living-in-precarious-conditions,Human Rights Watch,11 May 2026,,"(Johannesburg) – Angolan authorities should carry out an independent and credible investigation into the Cavaco River dike collapse and ensure that internally displaced communities receive immediate, adequate, and transparent assistance, Human Rights Watch said today.","Official figures indicate that heavy rainfall and the collapse of the Cavaco River dike on April 12, 2026, triggered devastating floods in Angola’s western Benguela province, killing at least 19 people, leaving 31 missing, and affecting more than 8,000 families. At least 3,624 people were rescued, 1,540 homes were destroyed , 3,871 were damaged, and 2,586 remained flooded in the weeks following the disaster.","“The scale of destruction of the Cavaco River dike collapse in Angola raises serious concerns about the authorities’ ability to prevent and respond to foreseeable risks,” said Sheila Nhancale , Africa researcher at Human Rights Watch. “Families affected need immediate humanitarian aid and answers to how the dike collapsed.”",yes,no,2,8
Angola,Workforce & Human Capital,Angola Unveils AngoREN Network to Drive Higher Education Digital Transformation,https://techafricanews.com/2026/05/14/angola-unveils-angoren-network-to-drive-higher-education-digital-transformation/,TechAfrica News,14 May 2026,,,,,no,no,0,12
Angola,Workforce & Human Capital,Lakeland v Angola Jr High 2026 - Entries,https://in.milesplit.com/articles/lakeland-v-angola-jr-high-2026-entries/,MileSplit Indiana,12 May 2026,,Mallory Weller won two IHSAA state titles and finished top-10 at New Balance Nationals. Her sophomore sister Daphne is already 3rd in Indiana in the 800!,"Entries information for Indiana’s top track and field meets scheduled for Thursday, May 14th.","Carnes, Price, Nunn, and Bunch post PRs at conference championships across Indiana!",yes,no,2,8
Angola,Workforce & Human Capital,Choongang High School,https://news.google.com/rss/articles/CBMimgFBVV95cUxOMk84SUpJVmJZR2Y0dHc4MmZyYXFiWjVhYW90SnAwUkdGUk1SUEFnWDR3UzFCVGZSUm5WR0lOV2tTUDRBanFxQnVfLWZhSVVNNmZnR3RDamRVVmU3SzdkVFRPc0Q1QV9hRktjaWJVVWd1cy01dnR1Z2lmdUN3emtkREdqUFBDb19zYmNHcE5HR0xqc3dQdGwzb0ZR?oc=5,Transfermarkt,13 May 2026,,,,,no,yes,3,5
Burundi,Jobs & Employment,Botswana Unveils Billion-Pula World Trade Centre Project to Transform Gaborone into Global Business Hub,https://trendsnafrica.com/botswana-unveils-billion-pula-world-trade-centre-project-to-transform-gaborone-into-global-business-hub/,Trendsnafrica,15 May 2026,,,,,no,no,0,10
Burundi,Jobs & Employment,"World’s most unsafe countries for women: Afghanistan, Yemen and Syria ranked lowest in global women safet",https://news.google.com/rss/articles/CBMimwJBVV95cUxPQ0stZmV5eFJUVzNpUERRSF9UakFaU3NoQVBOWVhJd3BScEhKS2o2R29veVBNN0pWcDh1MXljc2JZMXdTMVhfMGNOY3RYcTl1Y0lPU2Mwc3dNQVZwbi1OVjlJaXcyWlMwMV9xZjE2Vll6eWFTOXBCR3BRMjhfNnh1Ym52VUZJZHRHbDhublh0WDZuQ204NFZGS0lzN1k5Q2JfRjY0RVRLRmluUU04MXJiY01TSFlSNmNMTDcwMndkVENjRTYzQ2QzQm5UVXBTWTI0XzJvR3FEdFRSSG1SX3JHdlB3OGdPSzM5blFwdFByR2VCSkJ5WHM5bUc2MXpuWWNzR0dVdHVncjQzSlZPbzZEWG55dFpYdXNxS0tv0gGgAkFVX3lxTE9Ob21KcUgxTTNXdWs5ZWwtdlJ4c2lJbEdlYlY0MGdqSS1KWmtCNXFaX244d05JN3Q0anN3YXVhNVJZbmNMT29scXpsWXRNbUVhUjg1VXhiU0xGSVF3YlZpR0FWUUo5aUREbDZKT0tXVWFKRV9JWHNjakZSSURHTE9FMHE4VDFla2taX0hMSXI5cG82WFlnc3RuYk9VT01wVERkbjFfTmVRSFRQT1VXV21GZmlFMjAweHlIYlpCRzJNb0lqTHMzQ2RhMDlMQkx4LTQzSVNCbjZTRTU0bmpEUW9UQ0RaQUExUEdnbVhDcVI1Y2FBRkh3NHMxOVdPN0lTVGJMdzZHRU10WU1PakhXLXpCU1NIeUtnVFh6RGtlSkpMRQ?oc=5,The Times of India,10 May 2026,women,,,,no,yes,1,7
Burundi,Jobs & Employment,Inauguration: Museveni Warns on Corruption as Ndayishimiye Hails Uganda’s Regional Peacekeeping Role,https://chimpreports.com/inauguration-museveni-warns-on-corruption-as-ndayishimiye-hails-ugandas-regional-peacekeeping-role/,ChimpReports,12 May 2026,,,,,no,no,2,6
Burundi,Macroeconomy,Countries with the highest gasoline prices in Africa 2026,https://www.statista.com/statistics/1297061/average-retail-prices-for-gasoline-in-africa-by-country/,Statista,14 May 2026,,,,,no,no,0,8
Burundi,Macroeconomy,Charted: Where Food Inflation is the Highest,https://www.voronoiapp.com/news/charted-where-food-inflation-is-the-highest,Voronoi by Visual Capitalist,12 May 2026,,,,,no,no,1,7
Burundi,Macroeconomy,Tanzania sees 12.63 percent increase in number of passengers using air transport services,https://news.google.com/rss/articles/CBMitAFBVV95cUxNb0JfaEUtblVwbTAtbGNhb1RpMEFBLVhaRER0TTFhTjB6elg4ODZYWHBXaUxjQ09NUUxNSzd4RW5WUDdGZHBiLVVRRlZjQjQwekhpN3J1LXBFaFJtMkJNNjFYaGNORmxiNnZKdFRSX1l3RkRTeGZ5N2t0eUVQOGhEOXVyOWdoc2I2UEFNTVFTcTdrN1FxTXE3NTk3dHJqQTU3YnY2elQ3ODN5QTBzSkdFV3pYN08?oc=5,dailynews.co.tz,13 May 2026,,,,,no,yes,2,9
Burundi,Digital Economy,Burundi Accelerates Higher Education Digitization Despite Infrastructure Gaps,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQZjkzOW4yTGhNVU9qbndmOHNCQjN1d3lEZGtpbm5MRVJCVndKMUZLaThkVFBzT0tPZUt0Q3ZtRW1NVXM0VFJtSUtGNlM2RVpxT2w4X2ZEWUcyS05jWlMzMlg4WkF0azdNM0ZqTlNJT1VWUWdxSVY2LTlWMWZCRWRBTE9fR1hMXzlCYXNWR1EtYmZkaFhwRk1nV1FwWlNfaDVWRjBhbmIyVUMtRk9jY2VDbXJWTXp1X1lXbnAtQlhTZFZCTVgwS3VoTVY5a2d3cHlaejdVRnVmTQ?oc=5,We are Tech,12 May 2026,,,,,no,yes,0,8
Burundi,Digital Economy,New alliances continue fintech growth trend in Africa,https://developingtelecoms.com/telecom-technology/60-consumer-ecosystems/20230-new-alliances-continue-fintech-growth-trend-in-africa.html,Developing Telecoms,11 May 2026,,"Two more fintech alliances have been announced in the last week, one involving a virtual and physical cards collaboration in Nigeria and another a financial infrastructure initiative that aims to be extended across the continent.","Mastercard and BMONI, an AI-powered financial platform focused on simplifying access to money, have announced a collaboration to introduce a new generation of virtual and physical payment cards designed to enable seamless local and global transactions for consumers in Nigeria.","Powered by Mastercard’s global payment network, the solution enables users to instantly create multiple naira and US dollar-denominated virtual and physical cards that are globally accepted and ready for use within seconds, with all card management handled seamlessly within the BMONI app.",yes,no,1,9
Burundi,Digital Economy,University of Burundi Launches Digital Teaching Support Unit to Advance Higher Education Transformation,https://trendsnafrica.com/university-of-burundi-launches-digital-teaching-support-unit-to-advance-higher-education-transformation/,Trendsnafrica,13 May 2026,,,,,no,no,2,8
Burundi,Governance,"Headlines from Africa: Jihadist Attacks, Piracy and Kidnappi...",https://news.google.com/rss/articles/CBMickFVX3lxTE9OLXgtUmdQMHBGdTI5T1RObklKT21WX2pzTXZmNWNScllBbktVUGx3R0tveW15MlVPWHNTN0tnUzZDNXVJOUVhUjdRX3F2WmhlWF9odDAyaldxdExIeTRNLUVrU2RPVFFES3dyb2I2TFZnQQ?oc=5,LA Focus,14 May 2026,,,,,no,yes,0,8
Burundi,Governance,South Africa's top court bars repeat asylum applications,https://news.google.com/rss/articles/CBMiWkFVX3lxTFAtS3hIR1JqOVczZDN5NWFHVHkwUnZ0N1dBTU1UU2dVNTZtZG5aaHZiRGhDTXdpYlUwQXExZXZHVTJzLU1VTGVmdGV3NGRVMXR2WHFVNFJLQ3FPZw?oc=5,BBC,12 May 2026,,,,,no,yes,1,14
Burundi,Governance,Burundi to hold presidential elections on May 3 next year,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPRnJBMjlzc1A3aGlIdWxUN3llUFE0YkVBMGludlV5NldqOTlRNHJpQTFsZGtZRXZqV3I1cFVHWFVRZ3U3UU5NbFk0MlN0NnYyX2NzVGRTWHQxQWNjVEoxWm9uX3B3a0Q1RFoxVXdSYTVSOWhmY0R4akNlbTR1MjBQczJTWmIxUHRJTDRuRm9wd2pTZUI0Y3ZjTS1QbGpWUVNJbHFpX0V0bFRZdw?oc=5,MSN,8 May 2026,,,,,no,yes,2,6
Burundi,Agrifood & Climate,Millions of farmers in Africa’s Great Lakes region face rising temperatures. Study predicts how crop disease and pests could spread,https://news.google.com/rss/articles/CBMi9wFBVV95cUxNTzhMSDRKNTlkZG1YR19UNEFST0ZTMTA3ay1TUHM0NDZRY1dONHlTdFpMUElYaWJIamhoRjhnYm0tWk1SMzZtQndpTFZQNHR4bFFGT005cXR3VUU0V09LM3pmNThONDRrRlR0SXpZUktDT3dmVkFvR3ZnNlpxTHplUS1GcWJPZHdsNFBMZmJVTDJ3UXZnYUtYdVZBakN3NVZKeDJlZFpwdTZoMVo4WEE0SVdMV05NM0U3bWZPa2lTZ0hzQ3FmSDBDNUl0SVFqVXRiUGJ1VzI1U0c1OEJaY3Q4SmE5MlZodlBfRUFrQnN5cl94V3gxUGNv?oc=5,The Conversation,12 May 2026,,,,,no,yes,0,8
Burundi,Agrifood & Climate,Port of Bujumbura Recovery: Burundi's Climate Resilience Plan - News and Statistics,https://news.google.com/rss/articles/CBMijAFBVV95cUxOZFFMbklZdW9NSi0zclpGaVM3dnZuQ0lZZXFiNmRhZnRQeWUtWlRwUnowaFlFTDg4SHAyaWM0cWJkeVFaVWVJNWxWd2F2bEJ1Z2xoMWNKRUxxTHc3YWI1eTZ5NzBNbVJSbUpUQTljLXhkMm43VlhabTJjUzUxVTVhd05pU0xrdTV4MjRMOQ?oc=5,IndexBox,9 May 2026,,,,,no,yes,1,7
Burundi,Agrifood & Climate,Burundi’s Main Port Struggles to Recover From Flooding,https://news.google.com/rss/articles/CBMimAFBVV95cUxPSnR3aE1PSnhIMkZSQXJQb0R3RWttSXdJVlgwVTF2ZWtHeERRNmVDdmw4THRSaTByMWpNNDk4OGdRRzdseXJBTHhhdXRIOXhBSnZpUUtkN0dEaFJlNUttZTRwckp2blNvdlZ1ZmhaM1NRLWJxNkpkU0RMM1lDTXJDLWVhUWprMUtKQXI2T1MyTzVzR044bkpTVA?oc=5,The Maritime Executive,8 May 2026,,,,,no,yes,2,6
Burundi,Workforce & Human Capital,Botswana: De Beers Strengthens Human Capital Strategy for the Modern Workplace,https://trendsnafrica.com/botswana-de-beers-strengthens-human-capital-strategy-for-the-modern-workplace/,Trendsnafrica,15 May 2026,,,,,no,no,1,9
Burundi,Workforce & Human Capital,"""Love is stronger"": How a Catholic Woman Saved Tens of Thousands of Orphans in Burundi",https://news.google.com/rss/articles/CBMivAFBVV95cUxOeGJ3aFlzSDJTdHlZWXhEc0xoOXdqbHpZTlNjcFlaUTZSc3ZvX0hMSVlQUURjTEduSFhHa2lkYkZST1praS1NY0lWYnEyTXpUOTdoV1F2QTE4Z3RDUVBmQWhzRjhQTXkzY0w1Ukl4OWlCb2FFd1FLMUFxZ0kxVDgzam5OQkZ5ZXJjaWNyVjlHUVFkaDdDUUs4OXBHeU1UblBxMzZUbEwtUTBSN1V0bERCdTROOEpGaHFXWUFka9IBwgFBVV95cUxNN2duOVpfR1BtWlVZNzdDYnpHOXFDeDNadnotMGFtMnBnSjl3cXZCZXBNSm1XbTA0d0pKTkR1M2xPdTRBcDNQRVdwOW9yTVlISXVSd2VyUjhneFQxM0VvZjAwOVNtN3VVSEtnTjE0dlZIc2taS0p6QnFkNzFYVHQzcDN4TTAyY1Y0MWhKZ1plUkl4VUpMZ1VraVI2MUJyYzBwdG9YTFp1R01zbEJEcEdCQzJHZDB1MmotRjBLekRwaV9aZw?oc=5,aciafrica.org,11 May 2026,,,,,no,yes,2,6
Burundi,Workforce & Human Capital,Merck Foundation Chief Executive Officer (CEO) celebrates 124 Winners from 32 Countries for their Media Awards for Breaking infertility Stigma and Supporting Girl Education,https://www.socialnews.xyz/2026/05/13/merck-foundation-chief-executive-officer-ceo-celebrates-124-winners-from-32-countries-for-their-media-awards-for-breaking-infertility-stigma-and-supporting-girl-education/,Social News XYZ,13 May 2026,,"Merck Foundation ( www.Merck-Foundation.com ), the philanthropic arm of Merck KGaA Germany, in partnership with the First Ladies of Africa , announced the winners of the Merck Foundation Media Recognition Awards 2025 under the categories “More Than a Mother” and “Diabetes and Hypertension.” The awards recognize and celebrate the outstanding contributions of journalists who are raising awareness about critical social and health issues across Africa and beyond.","The Awards Ceremony was conducted virtually to honour and celebrate the outstanding contributions of all the winning media professionals. The winners were warmly acknowledged by Senator Dr. Rasha Kelej, CEO of Merck Foundation and President of the “More Than a Mother” campaign.","Congratulating the winners, Senator Dr. Rasha Kelej (Ret.), CEO of Merck Foundation , shared, “I am very happy to announce and celebrate the 124 outstanding winners from 32 countries , together with my dear sisters, the First Ladies of Africa , who are also the Ambassadors of the ‘Merck Foundation More Than a Mother’ .",yes,no,3,7
Benin,Jobs & Employment,Public Employment Services (PES): Workforce Development to Address Unemployment and Support Labor Markets,https://news.google.com/rss/articles/CBMihwFBVV95cUxPNnRlbVA5eTVfcFBPZW9OaE1KeWZWblJFRFhzellEYmZoT0RHdElYcE9zaE80Si1QOTBBZ0plb3JRSTRObHdHekg0dUxyY3JBLS04d3ctLXpMRGJ4V2J0aF9OOWFjblM5MDBsX0RxSFU3R1lvc0xyRzFvUFJDRVV1TmVLUnBwbUE?oc=5,World Bank Group,12 May 2026,,,,,no,yes,0,8
Benin,Jobs & Employment,CFAs: Orange Corners Incubation and Acceleration Subsidy Programme (Benin),https://www2.fundsforngos.org/community-development-2/cfas-orange-corners-incubation-and-acceleration-subsidy-programme-benin/,fundsforNGOs,13 May 2026,,,,,no,no,1,7
Benin,Jobs & Employment,2027: ‘What makes Beninese workers better than Oyo youths?’ — PDP guber aspirant,https://news.google.com/rss/articles/CBMisAFBVV95cUxQTEZpUFdob1J3ZGRqTzFacElTeVBsRGNXWUxlWVdnQk9mSFJOZFdhUWNPZUdTQTgwVVN4bnJ4RDZVZ3Ixa2JzVEpmc2NvZkZlVXBSWGNsekRPMVVReDUzYkFTMm8wVHc1UDZnRXhvb2JBTmVpckFNRkpfbHhoOC1NZnU5bTVQRmhlUHlQZnhhMUNLWWNQWHV2SXdabndlNlBUVHUzRm1hMmZTb3VzZElCNtIBtgFBVV95cUxQbGdLS2x4SVpGbVlnNUEwaUpVeFNTeXh6dFpJeEJfOFZPenA1U3JTekNoakkwTTZMU2ZDMWxmbkNJVWVKQzNKZFYwVlBTQnpOel9tT0h1aGl6bXNiR2U4Z0JNNUVyRi03bW9FbFVTc0JkUEVaenB0dkNtUG9wSlBGcmlDS04wbXd1YTdPMHNVcHJ5U2RrVHdyVlluMm9PQ0pDUk51TWMyenh3cEJUSmVpbmNwaExPUQ?oc=5,Vanguard News,15 May 2026,youth,,,,no,yes,2,6
Benin,Macroeconomy,Benin increases fertilizer subsidy budget by 22% to safeguard food security in 2026/2027,https://news.google.com/rss/articles/CBMisAFBVV95cUxNcGNjM2lTSnJSRmhEdTk2ZVBfV3d2Tk0tMlZhVXQwc25SbXR6Z2xCM0hIZ3VUODB4Vk82Nl9xREE0UjI3WXBGWjVZTlRXOHZkRWtKQU83d3BNZXZFTHE0ZG9nVmlhXzd2Z0ZpaXVvT3h0SFJ5cDFWTC1tVUwwbl90WVFBNE9RM3hTdFRVM050M0JMSC1nQmFPRGJPX1JsX3NyQlFlUUFKZEZLcWlYTEZTYQ?oc=5,Milling Middle East & Africa,15 May 2026,,,,,no,yes,0,8
Benin,Macroeconomy,Applications open for Orange Corners Innovation Fund (Benin),https://www2.fundsforngos.org/innovation/applications-open-for-orange-corners-innovation-fund-benin/,fundsforNGOs,13 May 2026,,,,,no,no,1,7
Benin,Macroeconomy,"Senegal, Benin, Ivory Coast: The Shift in Figures. An Investigation into the Creation of Public Debt in West Africa",https://news.google.com/rss/articles/CBMi-AFBVV95cUxPWUtjWUFjUzR6MjJjTU9SRG5mOERBak9wYlBMYW9DamxvelB4SGpYMFlMbmhhVjRwdjVfS2RPVGZybE02Y0U0aHlTcjkwY1FtSGVtUFVtV0l6R1JLWXRNUVNEWURkSDFacDd0VjZ4RWVudmFESzNmbThWVDE5bHdKOWE5MHozWlR3UEpyRU42dlhBVi0tMU9OZnZQSUZlM0NlR090dnc2NV9mdWp5MXVLZU9KcVFQSFA3Yk9lQ19ZVlNVLXdBSGl6Q0JwUDBNdUNNRG00MGxBOVhob0MzdWFZT21xQk5RaDZnYmNxZTNyemxYM292aHJ0Mg?oc=5,Seneweb,14 May 2026,,,,,no,yes,2,9
Benin,Digital Economy,New alliances continue fintech growth trend in Africa,https://developingtelecoms.com/telecom-technology/60-consumer-ecosystems/20230-new-alliances-continue-fintech-growth-trend-in-africa.html,Developing Telecoms,11 May 2026,,"Two more fintech alliances have been announced in the last week, one involving a virtual and physical cards collaboration in Nigeria and another a financial infrastructure initiative that aims to be extended across the continent.","Mastercard and BMONI, an AI-powered financial platform focused on simplifying access to money, have announced a collaboration to introduce a new generation of virtual and physical payment cards designed to enable seamless local and global transactions for consumers in Nigeria.","Powered by Mastercard’s global payment network, the solution enables users to instantly create multiple naira and US dollar-denominated virtual and physical cards that are globally accepted and ready for use within seconds, with all card management handled seamlessly within the BMONI app.",yes,no,0,10
Benin,Digital Economy,"Nigeria’s Internet Runs On Diesel, And That’s Why It Keeps Failing",https://www.modernghana.com/nigerias-internet-runs-on-diesel-and-thats-why-it-keeps-failing/,Modern Ghana,13 May 2026,,,,,no,no,1,7
Benin,Digital Economy,SA fintech leader Yoco appoints German Carsten Höltkemeyer as new CEO,https://disruptafrica.com/2026/05/08/sa-fintech-leader-yoco-appoints-german-carsten-holtkemeyer-as-new-ceo/,- Disrupt Africa,8 May 2026,,,,,no,no,2,6
Benin,Governance,Every Country That Has Left ECOWAS,https://www.worldatlas.com/geography/every-country-that-has-left-ecowas.html,WorldAtlas,14 May 2026,,"West Africa stretches from the Sahara in the north to the Atlantic coast in the west and the fertile lands of the south. The Economic Community of West African States (ECOWAS) was formed in 1975 to promote stability in the region. Among its fifteen members were Mali, Burkina Faso, and Niger.",These three landlocked Sahelian nations share borders with one another and lack the oceanic resources of their coastal neighbors. All three are led by military juntas that have reshaped relations with neighboring states. Recent conditions led these three countries to withdraw from ECOWAS in January 2024.,"ECOWAS is an organization based in Africa, created in May 1975 by the Treaty of Lagos by fifteen member states. Emerging out of a post-colonial context, the goal of this organization was to promote economic prosperity among member nations on the continent. Economic development and self-sustainability were promoted through the creation of a trading bloc that lowered trade barriers through multiple methods. Member nations created policies that encouraged trade and reduced barriers to such trade.",yes,no,0,10
Benin,Governance,ECOWAS to Establish Regional Counterterror Force,https://adf-magazine.com/2026/05/ecowas-to-establish-regional-counterterror-force/,Africa Defense Forum,13 May 2026,,,,,no,no,1,7
Benin,Governance,Benin opposition joins ruling coalition,https://news.google.com/rss/articles/CBMihAFBVV95cUxQYXNiU0NRUVhheTRjUDdpRlVtZ2tESU43bTZFV1ZabkVaN0I3SnF4cFZfeFVLc2lWMHI3LUpKQzFHOXRXMi1zNWZsN2hzdWQySGtwYV9HWkdza1hWekdzUjh3QWx6bmNKNFNJQUFjR0NVbks4NV83NUh2MFE5V1lkMkliRljSAYoBQVVfeXFMTVJjS2loeTI4WjlLZ3lsWHpqSHlxYURWMXRodWR6WEgwQTRJMS1kS2NOZFZYWjBJdklWbE9lcGpIZE9ZcUNJV3QxTTZVd3lybktuRkZtM1FLQmpSbWV0Rnp3T042TnBVelhtVGUyZkhJYTAya0I2Q2praEFmUDZ3T3JmcUFuS3JDX1Zn?oc=5,africanews.com,9 May 2026,,,,,no,yes,2,10
